 number=78, yearStr='1657', year=1657, x=1129, y=625, name='078 - GG 304', artist='Gerard Dou (1613-1675)', tags='Niederlande	Barock	Malerei	Genre	Licht	Wissenschaft	Holz'
 number=79, yearStr='1700', year=1700, x=832, y=889, name='079 - OA Hol 25', artist='Japan', tags='Japan	Barock	Skulptur; Statuette	x	x	x	Holz'
 number=80, yearStr='1658', year=1658, x=1020, y=493, name='080 - GG 316', artist='Johannes Vermeer (1632-1675)', tags='Niederlande	Barock	Malerei	Genre; Interieur	Farbe; Licht	Moral; Liebe; Mode	x'
 number=81, yearStr='1667', year=1667, x=1092, y=760, name='081 - GG 313', artist='Jan Steen (um 1626-1679)', tags='Niederlande	Barock	Malerei	Bibel; Interieur	x	Liebe; Moral	x'
 number=82, yearStr='1678', year=1678, x=797, y=413, name='082 - Elf 232', artist='Balthasar Permoser (1651-1732)', tags='Italien	Barock	Skulptur; Relief	Akt; Mythologie	x	Liebe; Tod	Elfenbein'
 number=82, yearStr='1678', year=1678, x=797, y=413, name='082 - Elf 233', artist='Balthasar Permoser (1651-1732)', tags='Italien	Barock	Skulptur; Relief	Akt; Mythologie	x	Liebe; Tod	Elfenbein'
 number=83, yearStr='1678', year=1678, x=844, y=457, name='083 - GG 378', artist='Jacob Isaaksz. van Ruisdael (1628/29-1682)', tags='Niederlande	Barock	Malerei	Landschaft	x	x	x'
 number=84, yearStr='1680', year=1680, x=1021, y=586, name='084 - Elf 406', artist='Johann Michael Maucher (1645-1701)', tags='Deutschland	Barock	Kunsthandwerk	Akt; Mythologie	x	Mode	Elfenbein'
 number=84, yearStr='1680', year=1680, x=1021, y=586, name='084 - Elf 407', artist='Johann Michael Maucher (1645-1701)', tags='Deutschland	Barock	Kunsthandwerk	Akt; Mythologie	x	Mode	Elfenbein'
 number=85, yearStr='1698', year=1698, x=0, y=0, name='085 - H 27 Nr 24b Bl 17', artist='Johanna Helena Herolt (1668-nach 1721)', tags='Deutschland	Barock	Graphik; Aquarell	Pflanze	x	x	Tierhaut'
 number=86, yearStr='1650', year=1650, x=294, y=301, name='086 - Kos 262', artist='Deutsch', tags='Deutschland	Rokoko	Kunsthandwerk	x	x	Mode	Edelstein; Steingut'
 number=87, yearStr='1704', year=1704, x=799, y=502, name='087 - 670_11_a', artist='Stephan Andreas Richard (tätig 1704-1718) und Heinrich Paus Groskurt (1675-1751)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=87, yearStr='1704', year=1704, x=799, y=502, name='087 - 670_11_b', artist='Stephan Andreas Richard (tätig 1704-1718) und Heinrich Paus Groskurt (1675-1751)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=88, yearStr='1704', year=1704, x=791, y=661, name='088 - 528neu', artist='Hyacinthe Rigaud (1659-1743)', tags='Deutschland; Braunschweig; Frankreich	Rokoko	Malerei	Portrait	x	Herrschermacht	x'
 number=89, yearStr='1694', year=1694, x=799, y=538, name='089 - 671_3_a', artist='Heinrich Paul Groskurt (1675-1751)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=89, yearStr='1694', year=1694, x=799, y=538, name='089 - 671_3_b', artist='Heinrich Paul Groskurt (1675-1751)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=90, yearStr='1710', year=1710, x=789, y=756, name='090 - Ste5', artist='Balthasar Permoser (1651-1732)', tags='Deutschland; Braunschweig	Klassizismus	Skulptur; Büste	Portrait	x	Herrschermacht	Edelstein'
 number=91, yearStr='1700', year=1700, x=461, y=298, name='091 - Kos 433', artist='Neapel (?)', tags='Italien	Rokoko	Kunsthandwerk; Kassetten; Goldschmiedearbeiten	Mythologie	x	Mode	Holz; Bronze; Edelstein'
 number=92, yearStr='1711', year=1711, x=798, y=574, name='092 - Med 53_a', artist='Christian Wermuth (1661-1739)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=92, yearStr='1711', year=1711, x=798, y=574, name='092 - Med 53_b', artist='Christian Wermuth (1661-1739)', tags='Deutschland; Braunschweig	Klassizismus	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=93, yearStr='1724', year=1724, x=711, y=510, name='093 - GG 521', artist='Nicolas de Largillierre (1656-1746)', tags='Frankreich	Rokoko	Malerei	Portrait	x	Herrschermacht	x'
 number=94, yearStr='1720', year=1720, x=703, y=396, name='094 - Elf 261', artist='Giovanni Battista Pozzo (um 1670-1752)', tags='Italien	Rokoko	Skulptur; Relief	Akt; Mythologie	x	Tod	Elfenbein'
